IZW ID,LLBB ID,date_found,location_lat,location_long,location_qual,area,condition,sex (m/f),age (j/a), weight (kg) ,instestil,muscle,hair,vibrisses,anthropogenic food,food comment,origin,date_dissect,species,location comment
411,17-51218-UTF 1746,NA,NA,NA,NA,Berlin,excellent,female,adult, 5.70    ,yes,yes,yes,yes,no,herbal matter,BA Charlottenburg-Wilmersdf. R04,30/08/2017 00:00,Rotfuchs,NA
412,17-51218-UTF 1777,01/09/2017,52.49959,13.562223,1,Berlin,excellent,female,adult, 5.20    ,yes,yes,yes,yes,no,mirabelles,BA Marzahn-Hellersdorf   R10,05/09/2017 10:20,Rotfuchs,"Fundort: Köpenicker Straße 76, 12683 Berlin"
413,17-51218-UTF 1779,04/09/2017,48.404287 ,11.98757,4,Berlin,excellent,female,juvenil, 3.90    ,yes,yes,yes,yes,no,empty,BA Lichtenberg   R11,05/09/2017 10:20,Rotfuchs,"Fundort: Straße 564, 13059 Berlin/ WartenbergPolizei A 61Vorgangsnummer: 170904-1930-030655"
414,17-51218-UTF 1780,02/09/2017,52.540958 ,13.33383,2,Berlin,autolytic,female,adult, 4.60    ,no,yes,yes,yes,NA,NA,BA Mitte  R01,05/09/2017 10:20,Rotfuchs,"Fundort: Seestraßebrücke, 13353 BerlinPolizei A 33Vorgangsnummer: 170902-0500-243741"
415,17-51218-UTF 1778,05/09/2017,52.541196,13.24875,1,Berlin,excellent,female,adult, 5.50    ,yes,yes,yes,yes,yes,white bread,BA Spandau   R05,05/09/2017 10:20,Rotfuchs,"Fundort: Paulsternstraße 20, 13629 Berlin- SpandauPolizei A 21Vorgangsnummer: 170905-0210-295560"
416,17-51218-UTF 1794,06/09/2017,52.505195,13.605702,1,Berlin,excellent,female,adult, NA ,yes,yes,yes,yes,yes,sausage,BA Marzahn-Hellersdorf   R10,06/09/2017 10:04,Rotfuchs,"Fundort: Alt- Mahlsdorf 19, 12623 BerlinVorgangsnummer: 170906-0612-022057, Pol.A 63"
417,17-51218-UTF 1817,10/09/2017,52.565799 ,13.486501,1,Berlin,excellent,female,adult, 5.40    ,yes,yes,yes,yes,no,"prey with metallic ring, fruit pit (apricot)",BA Lichtenberg   R11,11/09/2017 09:10,Rotfuchs,"Fundort: Darßer Str./ Graaler Weg, 13051 BerlinVorgangsnummer: 170910-0340-342115 Pol.A 61"
418,17-51218-UTF 1819,10/09/2017,52.541389 ,13.512969,3,Berlin,excellent,male,adult, 5.50    ,yes,yes,yes,yes,no,prey (bird),BA Lichtenberg   R11,11/09/2017 09:20,Rotfuchs,"Fundort: Rhinstr., 13053 BerlinVorgangsnummer: 170910-0900-027055, Pol.Dir 6 A61"
419,17-51218-UTF 1857,17/09/2017,52.542164,13.373034,2,Berlin,excellent,male,adult, 5.60    ,yes,yes,yes,yes,no,"brownish, with bone pieces",BA Mitte  R01,18/09/2017 09:10,Rotfuchs,"Fundort: Schönwalder Str., 13347 BerlinVorgangsnummer: 170917-0205-120599 Pol.A 36"
420,17-51218-UTF 1841,13/09/2017,52.564649,13.423208,1,Berlin,excellent,male,adult, 4.40    ,yes,yes,yes,yes,no,empty,BA Pankow   R03,13/09/2017 08:43,Rotfuchs,"Fundort: Laudaerstraße 13, 13189 Berlin- PankowPolizei A 13Vorgangsnummer: 170913-1400-275891"
